a
Stroke [mm],Load [kN]
0.000000,0.000000
0.074825,3.035650
0.095342,3.693455
0.114076,4.228350
0.134596,4.693208
0.160465,5.090775
0.187229,5.438902
0.215776,5.752698
0.229156,6.050702
0.256811,6.322613
0.278221,6.577357
0.305877,6.822489
0.331747,7.064188
0.358511,7.285973
0.378135,7.509132
0.404007,7.716499
0.429878,7.918372
0.453964,8.116811
0.475374,8.317311
0.503921,8.510944
0.527115,8.699084
0.553878,8.886539
0.577072,9.066439
0.602943,9.244967
0.628814,9.420747
0.652900,9.593781
0.686800,9.764755
0.702858,9.924744
0.729620,10.087478
0.751922,10.241285
0.780470,10.398527
0.804556,10.548902
0.829534,10.693097
0.849161,10.840725
0.877708,10.985607
0.901794,11.130489
0.925880,11.254771
0.950859,11.379054
0.969593,11.489604
0.993679,11.593287
1.009737,11.687357
1.029363,11.775248
1.046314,11.858331
1.065048,11.931115
1.073969,11.996346
1.085565,12.059518
1.099838,12.119943
1.115003,12.174188
1.124817,12.222252
1.136415,12.273064
1.142660,12.318382
1.157825,12.354088
1.160501,12.392540
1.173883,12.428246
1.178342,12.463951
1.188156,12.488670
1.194400,12.509270
1.198862,12.540855
1.203321,12.565574
1.206890,12.586173
1.215810,12.606772
1.216703,12.625998
1.224731,12.644538
